,s08,s09
nulo,61.497714723885714,1825.5978287231999
lbdle2.+facts,68.96681523314001,567.2451033591999
lbdle2.-facts,42.83359723092,2266.4223955628
lbdle3.+facts,49.43628926278,1367.8596309656
lbdle3.-facts,70.48617520330001,1074.5299813738
lbdle4.+facts,84.08733296386,491.21492047340007
lbdle4.-facts,92.15652709006,1140.7201027859999
lbdle5.+facts,77.5943943977,1119.6527341360002
lbdle5.-facts,62.48215479854,682.0205592154
lbdle6.+facts,63.57375192642,1092.8616366396
lbdle6.-facts,68.53027820588,693.5394091608
onlyfacts,55.93199954032,565.5927334794
perc=0.01.+facts.+binary.+active,68.62877659798,476.8607029916
perc=0.01.+facts.+binary.-active,34.2092939377,659.4405489930001
perc=0.01.+facts.-binary.+active,70.33153462404,2173.5513699526
perc=0.01.+facts.-binary.-active,68.68037419315999,687.2189385897999
perc=0.01.-facts.+binary.+active,65.8076320171,667.5730480198001
perc=0.01.-facts.+binary.-active,69.72614741318,768.5527653222
perc=0.01.-facts.-binary.+active,65.1206379414,1830.5835093508
perc=0.01.-facts.-binary.-active,65.41514797212001,1523.9789974696
sizele2.+facts,45.653166627900006,1142.803407811
sizele2.-facts,62.34176664347999,2133.644244956
sizele3.+facts,49.7424732685,1134.6741593854
sizele3.-facts,34.11722693444,1460.9160592085998
sizele4.+facts,60.31304183006,915.4970251560001
sizele4.-facts,47.159172201139995,711.9080375666
sizele5.+facts,67.6843586922,733.4617889876
sizele5.-facts,48.40800843238,390.4752834322
sizele6.+facts,74.1608010292,564.685959197
sizele6.-facts,62.81725082398,517.6177418231999
