,s09,s10
nulo,200.85342230787,1376.8869917391999
lbdle2.+facts,250.9310583593,987.7918725699999
lbdle2.-facts,197.95508124814,1075.8738878460001
lbdle3.+facts,232.95126795774996,1576.0657771665715
lbdle3.-facts,253.67993495451,1215.6778619969998
lbdle4.+facts,220.72850313188005,1739.0112063551428
lbdle4.-facts,253.9743655443,932.4663388744285
lbdle5.+facts,231.8949343681,1378.9021767878571
lbdle5.-facts,196.14393017288998,829.2276941024286
lbdle6.+facts,228.7720260143,744.4097681388572
lbdle6.-facts,287.61841778768996,1119.7359912392858
onlyfacts,222.8875659943,1648.0192606782855
perc=0.01.+facts.+binary.+active,275.3241190672,832.5742655817143
perc=0.01.+facts.+binary.-active,195.02209553727,975.6703827377142
perc=0.01.+facts.-binary.+active,178.37102434646,1385.1033497525714
perc=0.01.+facts.-binary.-active,278.4729953289,2128.2270266664286
perc=0.01.-facts.+binary.+active,270.67280433183,761.6177772780001
perc=0.01.-facts.+binary.-active,293.00315368166997,916.4680959489999
perc=0.01.-facts.-binary.+active,234.78501610767998,821.368826629
perc=0.01.-facts.-binary.-active,281.7580307006,1519.6095991112857
perc=0.05.+facts.+binary.+active,274.45523307306996,1093.7885896147143
perc=0.05.+facts.+binary.-active,298.70565872191,624.7356761456001
perc=0.05.+facts.-binary.+active,328.5707899094,936.7416031362
perc=0.05.+facts.-binary.-active,355.0485854149,1548.7123991428573
perc=0.05.-facts.+binary.+active,264.09277701378994,779.4284701691429
perc=0.05.-facts.+binary.-active,270.09406867020004,1842.3714915694286
perc=0.05.-facts.-binary.+active,249.16638560306,1952.6704743932858
perc=0.05.-facts.-binary.-active,271.65512371060004,1215.762344122
perc=0.1.+facts.+binary.+active,319.63258867279,2121.8148390574283
perc=0.1.+facts.+binary.-active,372.49954278475,841.6595551161666
perc=0.1.+facts.-binary.+active,410.6951421259,1724.9844091274285
perc=0.1.+facts.-binary.-active,352.98441386229996,1083.8670399201667
perc=0.1.-facts.+binary.+active,359.8538299084,1494.543805837
perc=0.1.-facts.+binary.-active,312.7513925553,973.6987129972857
perc=0.1.-facts.-binary.+active,434.36168210510004,1387.8956839695713
perc=0.1.-facts.-binary.-active,303.08267569561997,1059.5917261339998
perc=0.15.+facts.+binary.+active,456.20702891340005,1104.2515937595713
perc=0.15.+facts.+binary.-active,393.19053022860004,1515.039869002
perc=0.15.+facts.-binary.+active,525.222654271,1386.320383037
perc=0.15.+facts.-binary.-active,500.40141818530003,1341.6431827208569
perc=0.15.-facts.+binary.+active,392.6773629189,3215.6731358285715
perc=0.15.-facts.+binary.-active,476.41152808670006,3122.1053685435713
perc=0.15.-facts.-binary.+active,491.40724918850003,2152.9766779984284
perc=0.15.-facts.-binary.-active,376.84161982550006,1936.7153551552858
perc=0.2.+facts.+binary.+active,607.1426612858,1452.684567417143
perc=0.2.+facts.+binary.-active,446.935837841,3665.6743675265716
perc=0.2.+facts.-binary.+active,584.9159970759999,3871.101838686143
perc=0.2.+facts.-binary.-active,747.08743615115,3386.5865964511427
perc=0.2.-facts.+binary.+active,570.2145849943,3453.8959693869997
perc=0.2.-facts.+binary.-active,363.17251341338,3293.007002152857
perc=0.2.-facts.-binary.+active,577.3869835619,2393.4540989414286
perc=0.2.-facts.-binary.-active,599.3808125972,2586.496785574286
perc=1.0.+facts.+binary.+active,1334.5168580784,5405.928563164
perc=1.0.-facts.+binary.+active,2536.0628517369996,11873.419286433333
sizele2.+facts,217.81029999257998,1109.6304814134287
sizele2.-facts,225.31176626669998,1388.061907291
sizele3.+facts,168.03504374021,1068.1983408235715
sizele3.-facts,231.45517215731996,1384.0794475434286
sizele4.+facts,269.88739886284003,916.2927352695714
sizele4.-facts,247.75353901368004,1253.375432117
sizele5.+facts,194.56450233456002,1032.444237437857
sizele5.-facts,256.05386593344,1334.6359761434287
sizele6.+facts,227.27947654719,841.5843666292858
sizele6.-facts,184.03724029055002,592.536397151
